x	y	z	Ax	Ay	Az
2.4195905753766699e-02	-1.6244952060724401e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.0550631210207939e-02
2.4720448839103699e-02	-1.5915779822625500e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.0222904384136200e-02
2.4738650583924202e-02	-1.6560780692279051e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.0558299720287325e-02
2.5244991924440699e-02	-1.5586607584526600e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-9.8880277946591377e-03
2.5263193669261198e-02	-1.6231608454180150e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.0209649801254274e-02
2.5281395414081701e-02	-1.6876609323833700e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.0564409196376801e-02
2.6166494044731099e-02	-1.2831793019973800e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.5332626476883888e-03
2.6711382077978602e-02	-1.3143909514885550e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.5412142798304558e-03
2.6143694066985350e-02	-1.3450646776304550e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.7571153417229652e-03
2.7256270111226100e-02	-1.3456026009797300e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.5476972162723541e-03
2.6688582100232852e-02	-1.3762763271216300e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.7370350956916809e-03
2.6120894089239600e-02	-1.4069500532635301e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.9778387919068336e-03
1.6244952060724401e-02	2.4195905753766699e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.4566239769919774e-05
1.5915779822625500e-02	2.4720448839103699e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	7.6212873682379733e-04
1.6560780692279002e-02	2.4738650583924202e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-3.2111859127326170e-06
1.5586607584526600e-02	2.5244991924440699e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.5106652863323686e-03
1.6231608454180098e-02	2.5263193669261198e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	7.4623565888032317e-04
1.6876609323833600e-02	2.5281395414081701e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.7707607185002413e-05
1.9705882909643699e-03	-2.9076745080698199e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.5257664322853088e-03
1.9727314940543852e-03	-2.9704690207164600e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.5172513499855995e-03
1.4232452278816375e-03	-2.9366426598930049e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.0824727192521095e-03
1.9748746971444001e-03	-3.0332635333631001e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.5102505981922150e-03
1.4253884309716526e-03	-2.9994371725396450e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.0632753670215607e-03
8.7590216479890501e-04	-2.9656108117161899e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-7.6331938616931447e-03
2.9076745080698199e-02	1.9705882909643799e-03	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-5.1248809322714806e-03
2.9704690207164600e-02	1.9727314940543948e-03	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-5.1412638276815414e-03
2.9366426598930049e-02	1.4232452278816450e-03	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-5.5894567631185055e-03
3.0332635333631001e-02	1.9748746971444101e-03	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-5.1546567119658002e-03
2.9994371725396450e-02	1.4253884309716599e-03	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-5.5943564511835575e-03
2.9656108117161899e-02	8.7590216479891000e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-6.0496055521070966e-03
2.6166494044731099e-02	1.2831793019973800e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-5.1110195927321920e-03
2.6143694066985350e-02	1.3450646776304550e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-4.4082021340727806e-03
2.6711382077978602e-02	1.3143909514885550e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-5.1286919042468071e-03
2.6120894089239600e-02	1.4069500532635301e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-3.7055150605738159e-03
2.6688582100232852e-02	1.3762763271216300e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-4.4249063357710838e-03
2.7256270111226100e-02	1.3456026009797300e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-5.1430696621537209e-03
1.2831793019973800e-02	-2.6166494044731099e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.5313133895397204e-03
1.3450646776304550e-02	-2.6143694066985350e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.7582962587475777e-03
1.3143909514885550e-02	-2.6711382077978602e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.5222842171788216e-03
1.4069500532635301e-02	-2.6120894089239600e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.9805778115987778e-03
1.3762763271216300e-02	-2.6688582100232852e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.7240766733884811e-03
1.3456026009797300e-02	-2.7256270111226100e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.5148988291621208e-03
1.9705882909643599e-03	2.9076745080698199e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	5.4591028019785890e-03
1.4232452278816255e-03	2.9366426598930049e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	5.8683995157480240e-03
1.9727314940543748e-03	2.9704690207164600e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	5.4497807286679745e-03
8.7590216479889102e-04	2.9656108117161899e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	6.2708794139325610e-03
1.4253884309716406e-03	2.9994371725396450e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	5.8478154242038727e-03
1.9748746971443901e-03	3.0332635333631001e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	5.4421862587332717e-03
1.6244952060724401e-02	-2.4195905753766699e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.0552291758358479e-02
1.6560780692279051e-02	-2.4738650583924202e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.0559760034084320e-02
1.5915779822625500e-02	-2.4720448839103699e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.0229172185063362e-02
1.6876609323833700e-02	-2.5281395414081701e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.0565714910626413e-02
1.6231608454180150e-02	-2.5263193669261198e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.0213004425168037e-02
1.5586607584526600e-02	-2.5244991924440699e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-9.8957587033510208e-03
2.4195905753766699e-02	1.6244952060724401e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-3.2437126264994731e-06
2.4738650583924202e-02	1.6560780692279051e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.9654899006127380e-05
